a	(-A0_)
escafandro	(-E0_S)(K-A0_)(F-A0_N D)(R-O0_)
escafila	(-E0_S)(K-A0_)(F-I0_)(L-A0_)
escafilan	(-E0_S)(K-A0_)(F-I0_)(L-A0_N )
escafilar	(-E0_S)(K-A0_)(F-I0_)(L-A0_R )
escafile	(-E0_S)(K-A0_)(F-I0_)(L-E0_)
escafilen	(-E0_S)(K-A0_)(F-I0_)(L-E0_N )
escafilo	(-E0_S)(K-A0_)(F-I0_)(L-O0_)
escafilé	(-E0_S)(K-A0_)(F-I0_)(L-E1_)
escafiló	(-E0_S)(K-A0_)(F-I0_)(L-O1_)
escafoides	(-E0_S)(K-A0_)(F-O0_)(-I0_)(D-E0_S )
escagarruce	(-E0_S)(K-A0_)(G-A0_RR)(-U0_)(S-E0_)
escagarruzar	(-E0_S)(K-A0_)(G-A0_RR)(-U0_)(Z-A0_R )
escagarruzo	(-E0_S)(K-A0_)(G-A0_RR)(-U0_)(Z-O0_)
escajo	(-E0_S)(K-A0_X)(-O0_)
escajocote	(-E0_S)(K-A0_X)(-O0_)(K-O0_)(T-E0_)
escalable	(-E0_S)(K-A0_)(L-A0_B)(L-E0_)
escalaborne	(-E0_S)(K-A0_)(L-A0_)(B-O0_R)(N-E0_)
escalabra	(-E0_S)(K-A0_)(L-A0_B)(R-A0_)
escalabran	(-E0_S)(K-A0_)(L-A0_B)(R-A0_N )
escalabrar	(-E0_S)(K-A0_)(L-A0_B)(R-A0_R )
escalabre	(-E0_S)(K-A0_)(L-A0_B)(R-E0_)
escalabren	(-E0_S)(K-A0_)(L-A0_B)(R-E0_N )
escalabro	(-E0_S)(K-A0_)(L-A0_B)(R-O0_)
escalabré	(-E0_S)(K-A0_)(L-A0_B)(R-E1_)
escalabró	(-E0_S)(K-A0_)(L-A0_B)(R-O1_)
escalador	(-E0_S)(K-A0_)(L-A0_)(D-O0_R )
escalafón	(-E0_S)(K-A0_)(L-A0_)(F-O1_N )
escalar	(-E0_S)(K-A0_)(L-A0_R )
escaldar	(-E0_S)(K-A0_L)(D-A0_R )
escalde	(-E0_S)(K-A0_L)(D-E0_)
escale	(-E0_S)(K-A0_)(L-E0_)
escaleno	(-E0_S)(K-A0_)(L-E0_)(N-O0_)
escalentar	(-E0_S)(K-A0_)(L-E0_N)(T-A0_R )
escalera	(-E0_S)(K-A0_)(L-E0_)(R-A0_)
escaleta	(-E0_S)(K-A0_)(L-E0_)(T-A0_)
escalfador	(-E0_S)(K-A0_L)(F-A0_)(D-O0_R )
escalfar	(-E0_S)(K-A0_L)(F-A0_R )
escalfarote	(-E0_S)(K-A0_L)(F-A0_)(R-O0_)(T-E0_)
escalfe	(-E0_S)(K-A0_L)(F-E0_)
escalfeta	(-E0_S)(K-A0_L)(F-E0_)(T-A0_)
escalinata	(-E0_S)(K-A0_)(L-I0_)(N-A0_)(T-A0_)
escalla	(-E0_S)(K-A0_LL)(-A0_)
escalmo	(-E0_S)(K-A0_L)(M-O0_)
escalo	(-E0_S)(K-A0_)(L-O0_)
escalofriante	(-E0_S)(K-A0_)(L-O0_F)(R-I0_)(-A0_N)(T-E0_)
escalofriar	(-E0_S)(K-A0_)(L-O0_F)(R-I0_)(-A0_R )
escalofríe	(-E0_S)(K-A0_)(L-O0_F)(R-I1_)(-E0_)
escalofrío	(-E0_S)(K-A0_)(L-O0_F)(R-I1_)(-O0_)
escalonar	(-E0_S)(K-A0_)(L-O0_)(N-A0_R )
escalonia	(-E0_S)(K-A0_)(L-O0_)(N-I0_)(-A0_)
escalope	(-E0_S)(K-A0_)(L-O0_)(P-E0_)
escalpelo	(-E0_S)(K-A0_L)(P-E0_)(L-O0_)
escalplo	(-E0_S)(K-A0_L P)(L-O0_)
escalón	(-E0_S)(K-A0_)(L-O1_N )
escama	(-E0_S)(K-A0_)(M-A0_)
escamadura	(-E0_S)(K-A0_)(M-A0_)(D-U0_)(R-A0_)
escaman	(-E0_S)(K-A0_)(M-A0_N )
escamar	(-E0_S)(K-A0_)(M-A0_R )
escame	(-E0_S)(K-A0_)(M-E0_)
escamel	(-E0_S)(K-A0_)(M-E0_L )
escamen	(-E0_S)(K-A0_)(M-E0_N )
escamo	(-E0_S)(K-A0_)(M-O0_)
escamochar	(-E0_S)(K-A0_)(M-O0_)(CH-A0_R )
escamoche	(-E0_S)(K-A0_)(M-O0_)(CH-E0_)
escamondar	(-E0_S)(K-A0_)(M-O0_N)(D-A0_R )
escamonde	(-E0_S)(K-A0_)(M-O0_N)(D-E0_)
escamonear	(-E0_S)(K-A0_)(M-O0_)(N-E0_)(-A0_R )
escamonee	(-E0_S)(K-A0_)(M-O0_)(N-E0_)(-E0_)
escamoso	(-E0_S)(K-A0_)(M-O0_)(S-O0_)
escamotar	(-E0_S)(K-A0_)(M-O0_)(T-A0_R )
escamote	(-E0_S)(K-A0_)(M-O0_)(T-E0_)
escamoteador	(-E0_S)(K-A0_)(M-O0_)(T-E0_)(-A0_)(D-O0_R )
escamotear	(-E0_S)(K-A0_)(M-O0_)(T-E0_)(-A0_R )
escamotee	(-E0_S)(K-A0_)(M-O0_)(T-E0_)(-E0_)
escampar	(-E0_S)(K-A0_M)(P-A0_R )
escampe	(-E0_S)(K-A0_M)(P-E0_)
escamudo	(-E0_S)(K-A0_)(M-U0_)(D-O0_)
escamujar	(-E0_S)(K-A0_)(M-U0_X)(-A0_R )
escamuje	(-E0_S)(K-A0_)(M-U0_X)(-E0_)
escamé	(-E0_S)(K-A0_)(M-E1_)
escamó	(-E0_S)(K-A0_)(M-O1_)
escanciador	(-E0_S)(K-A0_N)(S-I0_)(-A0_)(D-O0_R )
escanciar	(-E0_S)(K-A0_N)(S-I0_)(-A0_R )
escancie	(-E0_S)(K-A0_N)(S-I0_)(-E0_)
escandalar	(-E0_S)(K-A0_N)(D-A0_)(L-A0_R )
escandalera	(-E0_S)(K-A0_N)(D-A0_)(L-E0_)(R-A0_)
escandalice	(-E0_S)(K-A0_N)(D-A0_)(L-I0_)(S-E0_)
escandalizador	(-E0_S)(K-A0_N)(D-A0_)(L-I0_)(Z-A0_)(D-O0_R )
escandalizar	(-E0_S)(K-A0_N)(D-A0_)(L-I0_)(Z-A0_R )
escandalizativo	(-E0_S)(K-A0_N)(D-A0_)(L-I0_)(Z-A0_)(T-I0_)(V-O0_)
escandalizo	(-E0_S)(K-A0_N)(D-A0_)(L-I0_)(Z-O0_)
escandallar	(-E0_S)(K-A0_N)(D-A0_LL)(-A0_R )
escandalle	(-E0_S)(K-A0_N)(D-A0_LL)(-E0_)
escandallo	(-E0_S)(K-A0_N)(D-A0_LL)(-O0_)
escandalosamente	(-E0_S)(K-A0_N)(D-A0_)(L-O0_)(S-A0_)(M-E0_N)(T-E0_)
escandaloso	(-E0_S)(K-A0_N)(D-A0_)(L-O0_)(S-O0_)
escande	(-E0_S)(K-A0_N)(D-E0_)
escandelar	(-E0_S)(K-A0_N)(D-E0_)(L-A0_R )
escandia	(-E0_S)(K-A0_N)(D-I0_)(-A0_)
escandinavo	(-E0_S)(K-A0_N)(D-I0_)(N-A0_)(V-O0_)
escandir	(-E0_S)(K-A0_N)(D-I0_R )
escanear	(-E0_S)(K-A0_)(N-E0_)(-A0_R )
escanee	(-E0_S)(K-A0_)(N-E0_)(-E0_)
escantar	(-E0_S)(K-A0_N)(T-A0_R )
escantillan	(-E0_S)(K-A0_N)(T-I0_LL)(-A0_N )
escantillar	(-E0_S)(K-A0_N)(T-I0_LL)(-A0_R )
escantille	(-E0_S)(K-A0_N)(T-I0_LL)(-E0_)
escantillen	(-E0_S)(K-A0_N)(T-I0_LL)(-E0_N )
escantillo	(-E0_S)(K-A0_N)(T-I0_LL)(-O0_)
escantillé	(-E0_S)(K-A0_N)(T-I0_LL)(-E1_)
escantilló	(-E0_S)(K-A0_N)(T-I0_LL)(-O1_)
escantillón	(-E0_S)(K-A0_N)(T-I0_LL)(-O1_N )
escapar	(-E0_S)(K-A0_)(P-A0_R )
escaparate	(-E0_S)(K-A0_)(P-A0_)(R-A0_)(T-E0_)
escapatoria	(-E0_S)(K-A0_)(P-A0_)(T-O0_)(R-I0_)(-A0_)
escape	(-E0_S)(K-A0_)(P-E0_)
escapo	(-E0_S)(K-A0_)(P-O0_)
escapular	(-E0_S)(K-A0_)(P-U0_)(L-A0_R )
escapulario	(-E0_S)(K-A0_)(P-U0_)(L-A0_)(R-I0_)(-O0_)
escapule	(-E0_S)(K-A0_)(P-U0_)(L-E0_)
escaque	(-E0_S)(K-A0_)(-K0_)(-E0_)
escaquear	(-E0_S)(K-A0_)(-K0_)(-E0_)(-A0_R )
escaquee	(-E0_S)(K-A0_)(-K0_)(-E0_)(-E0_)
escarabajear	(-E0_S)(K-A0_)(R-A0_)(B-A0_X)(-E0_)(-A0_R )
escarabajee	(-E0_S)(K-A0_)(R-A0_)(B-A0_X)(-E0_)(-E0_)
escarabajo	(-E0_S)(K-A0_)(R-A0_)(B-A0_X)(-O0_)
escarabajuelo	(-E0_S)(K-A0_)(R-A0_)(B-A0_X)(-U0_)(-E0_)(L-O0_)
escaramuce	(-E0_S)(K-A0_)(R-A0_)(M-U0_)(S-E0_)
escaramucear	(-E0_S)(K-A0_)(R-A0_)(M-U0_)(S-E0_)(-A0_R )
escaramucee	(-E0_S)(K-A0_)(R-A0_)(M-U0_)(S-E0_)(-E0_)
escaramujo	(-E0_S)(K-A0_)(R-A0_)(M-U0_X)(-O0_)
escaramuzador	(-E0_S)(K-A0_)(R-A0_)(M-U0_)(Z-A0_)(D-O0_R )
escaramuzar	(-E0_S)(K-A0_)(R-A0_)(M-U0_)(Z-A0_R )
escaramuzo	(-E0_S)(K-A0_)(R-A0_)(M-U0_)(Z-O0_)
escarapelar	(-E0_S)(K-A0_)(R-A0_)(P-E0_)(L-A0_R )
escarapele	(-E0_S)(K-A0_)(R-A0_)(P-E0_)(L-E0_)
escarbadero	(-E0_S)(K-A0_R)(B-A0_)(D-E0_)(R-O0_)
escarbadientes	(-E0_S)(K-A0_R)(B-A0_)(D-I0_)(-E0_N)(T-E0_S )
escarbador	(-E0_S)(K-A0_R)(B-A0_)(D-O0_R )
escarbaorejas	(-E0_S)(K-A0_R)(B-A0_)(-O0_)(R-E0_X)(-A0_S )
escarbar	(-E0_S)(K-A0_R)(B-A0_R )
escarbe	(-E0_S)(K-A0_R)(B-E0_)
escarbillos	(-E0_S)(K-A0_R)(B-I0_LL)(-O0_S )
escarce	(-E0_S)(K-A0_R)(S-E0_)
escarcela	(-E0_S)(K-A0_R)(S-E0_)(L-A0_)
escarchar	(-E0_S)(K-A0_R)(CH-A0_R )
escarche	(-E0_S)(K-A0_R)(CH-E0_)
escarcina	(-E0_S)(K-A0_R)(S-I0_)(N-A0_)
escarda	(-E0_S)(K-A0_R)(D-A0_)
escardadera	(-E0_S)(K-A0_R)(D-A0_)(D-E0_)(R-A0_)
escardador	(-E0_S)(K-A0_R)(D-A0_)(D-O0_R )
escardar	(-E0_S)(K-A0_R)(D-A0_R )
escarde	(-E0_S)(K-A0_R)(D-E0_)
escardillar	(-E0_S)(K-A0_R)(D-I0_LL)(-A0_R )
escardille	(-E0_S)(K-A0_R)(D-I0_LL)(-E0_)
escardo	(-E0_S)(K-A0_R)(D-O0_)
escariador	(-E0_S)(K-A0_)(R-I0_)(-A0_)(D-O0_R )
escariar	(-E0_S)(K-A0_)(R-I0_)(-A0_R )
escarice	(-E0_S)(K-A0_)(R-I0_)(S-E0_)
escarie	(-E0_S)(K-A0_)(R-I0_)(-E0_)
escarificador	(-E0_S)(K-A0_)(R-I0_)(F-I0_)(K-A0_)(D-O0_R )
escarificar	(-E0_S)(K-A0_)(R-I0_)(F-I0_)(K-A0_R )
escarifico	(-E0_S)(K-A0_)(R-I0_)(F-I0_)(K-O0_)
escarioso	(-E0_S)(K-A0_)(R-I0_)(-O0_)(S-O0_)
escarizar	(-E0_S)(K-A0_)(R-I0_)(Z-A0_R )
escarizo	(-E0_S)(K-A0_)(R-I0_)(Z-O0_)
escarlador	(-E0_S)(K-A0_R)(L-A0_)(D-O0_R )
escarlata	(-E0_S)(K-A0_R)(L-A0_)(T-A0_)
escarlatina	(-E0_S)(K-A0_R)(L-A0_)(T-I0_)(N-A0_)
escarmenador	(-E0_S)(K-A0_R)(M-E0_)(N-A0_)(D-O0_R )
escarmenar	(-E0_S)(K-A0_R)(M-E0_)(N-A0_R )
escarmene	(-E0_S)(K-A0_R)(M-E0_)(N-E0_)
escarmentar	(-E0_S)(K-A0_R)(M-E0_N)(T-A0_R )
escarmiento	(-E0_S)(K-A0_R)(M-I0_)(-E0_N)(T-O0_)
escarnar	(-E0_S)(K-A0_R)(N-A0_R )
escarnece	(-E0_S)(K-A0_R)(N-E0_)(S-E0_)
escarnecedor	(-E0_S)(K-A0_R)(N-E0_)(S-E0_)(D-O0_R )
escarnecer	(-E0_S)(K-A0_R)(N-E0_)(S-E0_R )
escarnio	(-E0_S)(K-A0_R)(N-I0_)(-O0_)
escaro	(-E0_S)(K-A0_)(R-O0_)
escarolar	(-E0_S)(K-A0_)(R-O0_)(L-A0_R )
escarole	(-E0_S)(K-A0_)(R-O0_)(L-E0_)
escarpar	(-E0_S)(K-A0_R)(P-A0_R )
escarpe	(-E0_S)(K-A0_R)(P-E0_)
escarpelo	(-E0_S)(K-A0_R)(P-E0_)(L-O0_)
escarpia	(-E0_S)(K-A0_R)(P-I0_)(-A0_)
escarpiador	(-E0_S)(K-A0_R)(P-I0_)(-A0_)(D-O0_R )
escarpiar	(-E0_S)(K-A0_R)(P-I0_)(-A0_R )
escarpidor	(-E0_S)(K-A0_R)(P-I0_)(D-O0_R )
escarramanado	(-E0_S)(K-A0_RR)(-A0_)(M-A0_)(N-A0_)(D-O0_)
escarramán	(-E0_S)(K-A0_RR)(-A0_)(M-A1_N )
escarranchar	(-E0_S)(K-A0_RR)(-A0_N)(CH-A0_R )
escarranche	(-E0_S)(K-A0_RR)(-A0_N)(CH-E0_)
escartivana	(-E0_S)(K-A0_R)(T-I0_)(V-A0_)(N-A0_)
escarzador	(-E0_S)(K-A0_R)(Z-A0_)(D-O0_R )
escarzano	(-E0_S)(K-A0_R)(Z-A0_)(N-O0_)
escarzar	(-E0_S)(K-A0_R)(Z-A0_R )
escarzo	(-E0_S)(K-A0_R)(Z-O0_)
escasa	(-E0_S)(K-A0_)(S-A0_)
escasamente	(-E0_S)(K-A0_)(S-A0_)(M-E0_N)(T-E0_)
escasear	(-E0_S)(K-A0_)(S-E0_)(-A0_R )
escasee	(-E0_S)(K-A0_)(S-E0_)(-E0_)
escaso	(-E0_S)(K-A0_)(S-O0_)
escatimar	(-E0_S)(K-A0_)(T-I0_)(M-A0_R )
escatime	(-E0_S)(K-A0_)(T-I0_)(M-E0_)
escatimosamente	(-E0_S)(K-A0_)(T-I0_)(M-O0_)(S-A0_)(M-E0_N)(T-E0_)
escatimoso	(-E0_S)(K-A0_)(T-I0_)(M-O0_)(S-O0_)
escatofagia	(-E0_S)(K-A0_)(T-O0_)(F-A0_X)(-I0_)(-A0_)
escavan	(-E0_S)(K-A0_)(V-A0_N )
escavanar	(-E0_S)(K-A0_)(V-A0_)(N-A0_R )
escavane	(-E0_S)(K-A0_)(V-A0_)(N-E0_)
escavar	(-E0_S)(K-A0_)(V-A0_R )
escave	(-E0_S)(K-A0_)(V-E0_)
escayolar	(-E0_S)(K-A0_)(Y-O0_)(L-A0_R )
escayole	(-E0_S)(K-A0_)(Y-O0_)(L-E0_)
escaño	(-E0_S)(K-A0_NY)(-O0_)
escena	(-E0_S)(S-E0_)(N-A0_)
escenario	(-E0_S)(S-E0_)(N-A0_)(R-I0_)(-O0_)
escenificar	(-E0_S)(S-E0_)(N-I0_)(F-I0_)(K-A0_R )
escenifico	(-E0_S)(S-E0_)(N-I0_)(F-I0_)(K-O0_)
escenografía	(-E0_S)(S-E0_)(N-O0_G)(R-A0_)(F-I1_)(-A0_)
escenográfico	(-E0_S)(S-E0_)(N-O0_G)(R-A1_)(F-I0_)(K-O0_)
escenógrafo	(-E0_S)(S-E0_)(N-O1_G)(R-A0_)(F-O0_)
escepticismo	(-E0_S)(S-E0_P)(T-I0_)(S-I0_S)(M-O0_)
escibar	(-E0_S)(S-I0_)(B-A0_R )
esciente	(-E0_S)(S-I0_)(-E0_N)(T-E0_)
escinda	(-E0_S)(S-I0_N)(D-A0_)
escindan	(-E0_S)(S-I0_N)(D-A0_N )
escinde	(-E0_S)(S-I0_N)(D-E0_)
escinden	(-E0_S)(S-I0_N)(D-E0_N )
escindir	(-E0_S)(S-I0_N)(D-I0_R )
escindió	(-E0_S)(S-I0_N)(D-I0_)(-O1_)
escindo	(-E0_S)(S-I0_N)(D-O0_)
escindí	(-E0_S)(S-I0_N)(D-I1_)
escindía	(-E0_S)(S-I0_N)(D-I1_)(-A0_)
escintilar	(-E0_S)(S-I0_N)(T-I0_)(L-A0_R )
escintile	(-E0_S)(S-I0_N)(T-I0_)(L-E0_)
escirro	(-E0_S)(S-I0_RR)(-O0_)
escisión	(-E0_S)(S-I0_)(S-I0_)(-O1_N )
escita	(-E0_S)(S-I0_)(T-A0_)
esclarea	(-E0_S K)(L-A0_)(R-E0_)(-A0_)
esclarece	(-E0_S K)(L-A0_)(R-E0_)(S-E0_)
esclarecedor	(-E0_S K)(L-A0_)(R-E0_)(S-E0_)(D-O0_R )
esclarecer	(-E0_S K)(L-A0_)(R-E0_)(S-E0_R )
esclavice	(-E0_S K)(L-A0_)(V-I0_)(S-E0_)
esclavina	(-E0_S K)(L-A0_)(V-I0_)(N-A0_)
esclavista	(-E0_S K)(L-A0_)(V-I0_S)(T-A0_)
esclavitud	(-E0_S K)(L-A0_)(V-I0_)(T-U0_D )
esclavizar	(-E0_S K)(L-A0_)(V-I0_)(Z-A0_R )
esclavizo	(-E0_S K)(L-A0_)(V-I0_)(Z-O0_)
esclavo	(-E0_S K)(L-A0_)(V-O0_)
esclavonio	(-E0_S K)(L-A0_)(V-O0_)(N-I0_)(-O0_)
esclavón	(-E0_S K)(L-A0_)(V-O1_N )
esclerodermia	(-E0_S K)(L-E0_)(R-O0_)(D-E0_R)(M-I0_)(-A0_)
esclerosar	(-E0_S K)(L-E0_)(R-O0_)(S-A0_R )
esclerose	(-E0_S K)(L-E0_)(R-O0_)(S-E0_)
esclerosis	(-E0_S K)(L-E0_)(R-O0_)(S-I0_S )
esclerótico	(-E0_S K)(L-E0_)(R-O1_)(T-I0_)(K-O0_)
esclisiado	(-E0_S K)(L-I0_)(S-I0_)(-A0_)(D-O0_)
esclusa	(-E0_S K)(L-U0_)(S-A0_)
escoa	(-E0_S)(K-O0_)(-A0_)
escoba	(-E0_S)(K-O0_)(B-A0_)
escobace	(-E0_S)(K-O0_)(B-A0_)(S-E0_)
escobajo	(-E0_S)(K-O0_)(B-A0_X)(-O0_)
escobajos	(-E0_S)(K-O0_)(B-A0_X)(-O0_S )
escobar	(-E0_S)(K-O0_)(B-A0_R )
escobazar	(-E0_S)(K-O0_)(B-A0_)(Z-A0_R )
escobazo	(-E0_S)(K-O0_)(B-A0_)(Z-O0_)
escobe	(-E0_S)(K-O0_)(B-E0_)
escobero	(-E0_S)(K-O0_)(B-E0_)(R-O0_)
escobeta	(-E0_S)(K-O0_)(B-E0_)(T-A0_)
escobillar	(-E0_S)(K-O0_)(B-I0_LL)(-A0_R )
escobille	(-E0_S)(K-O0_)(B-I0_LL)(-E0_)
escobilleo	(-E0_S)(K-O0_)(B-I0_LL)(-E0_)(-O0_)
escobina	(-E0_S)(K-O0_)(B-I0_)(N-A0_)
escobén	(-E0_S)(K-O0_)(B-E1_N )
escobón	(-E0_S)(K-O0_)(B-O1_N )
escocer	(-E0_S)(K-O0_)(S-E0_R )
escocia	(-E0_S)(K-O0_)(S-I0_)(-A0_)
escocimiento	(-E0_S)(K-O0_)(S-I0_)(M-I0_)(-E0_N)(T-O0_)
escociéndome	(-E0_S)(K-O0_)(S-I0_)(-E1_N)(D-O0_)(M-E0_)
escociéndonos	(-E0_S)(K-O0_)(S-I0_)(-E1_N)(D-O0_)(N-O0_S )
escociéndote	(-E0_S)(K-O0_)(S-I0_)(-E1_N)(D-O0_)(T-E0_)
escocés	(-E0_S)(K-O0_)(S-E1_S )
escodadero	(-E0_S)(K-O0_)(D-A0_)(D-E0_)(R-O0_)
escodar	(-E0_S)(K-O0_)(D-A0_R )
escode	(-E0_S)(K-O0_)(D-E0_)
escofia	(-E0_S)(K-O0_)(F-I0_)(-A0_)
escofiar	(-E0_S)(K-O0_)(F-I0_)(-A0_R )
escofieta	(-E0_S)(K-O0_)(F-I0_)(-E0_)(T-A0_)
escofinar	(-E0_S)(K-O0_)(F-I0_)(N-A0_R )
escofine	(-E0_S)(K-O0_)(F-I0_)(N-E0_)
escoge	(-E0_S)(K-O0_X)(-E0_)
escogedor	(-E0_S)(K-O0_X)(-E0_)(D-O0_R )
escoger	(-E0_S)(K-O0_X)(-E0_R )
escojo	(-E0_S)(K-O0_X)(-O0_)
escolano	(-E0_S)(K-O0_)(L-A0_)(N-O0_)
escolapio	(-E0_S)(K-O0_)(L-A0_)(P-I0_)(-O0_)
escolar	(-E0_S)(K-O0_)(L-A0_R )
escolarice	(-E0_S)(K-O0_)(L-A0_)(R-I0_)(S-E0_)
escolariego	(-E0_S)(K-O0_)(L-A0_)(R-I0_)(-E0_)(G-O0_)
escolarino	(-E0_S)(K-O0_)(L-A0_)(R-I0_)(N-O0_)
escolarizar	(-E0_S)(K-O0_)(L-A0_)(R-I0_)(Z-A0_R )
escolarizo	(-E0_S)(K-O0_)(L-A0_)(R-I0_)(Z-O0_)
escolasticismo	(-E0_S)(K-O0_)(L-A0_S)(T-I0_)(S-I0_S)(M-O0_)
escoliador	(-E0_S)(K-O0_)(L-I0_)(-A0_)(D-O0_R )
escoliar	(-E0_S)(K-O0_)(L-I0_)(-A0_R )
escoliaste	(-E0_S)(K-O0_)(L-I0_)(-A0_S)(T-E0_)
escolie	(-E0_S)(K-O0_)(L-I0_)(-E0_)
escolimado	(-E0_S)(K-O0_)(L-I0_)(M-A0_)(D-O0_)
escolimoso	(-E0_S)(K-O0_)(L-I0_)(M-O0_)(S-O0_)
escoliosis	(-E0_S)(K-O0_)(L-I0_)(-O0_)(S-I0_S )
escollan	(-E0_S)(K-O0_LL)(-A0_N )
escollar	(-E0_S)(K-O0_LL)(-A0_R )
escolle	(-E0_S)(K-O0_LL)(-E0_)
escollen	(-E0_S)(K-O0_LL)(-E0_N )
escollera	(-E0_S)(K-O0_LL)(-E0_)(R-A0_)
escollo	(-E0_S)(K-O0_LL)(-O0_)
escollé	(-E0_S)(K-O0_LL)(-E1_)
escolló	(-E0_S)(K-O0_LL)(-O1_)
escolopendra	(-E0_S)(K-O0_)(L-O0_)(P-E0_N D)(R-A0_)
escoltar	(-E0_S)(K-O0_L)(T-A0_R )
escolte	(-E0_S)(K-O0_L)(T-E0_)
escolástico	(-E0_S)(K-O0_)(L-A1_S)(T-I0_)(K-O0_)
escombra	(-E0_S)(K-O0_M B)(R-A0_)
escombran	(-E0_S)(K-O0_M B)(R-A0_N )
escombrar	(-E0_S)(K-O0_M B)(R-A0_R )
escombre	(-E0_S)(K-O0_M B)(R-E0_)
escombren	(-E0_S)(K-O0_M B)(R-E0_N )
escombrera	(-E0_S)(K-O0_M B)(R-E0_)(R-A0_)
escombro	(-E0_S)(K-O0_M B)(R-O0_)
escombros	(-E0_S)(K-O0_M B)(R-O0_S )
escombré	(-E0_S)(K-O0_M B)(R-E1_)
escombró	(-E0_S)(K-O0_M B)(R-O1_)
escome	(-E0_S)(K-O0_)(M-E0_)
escomearse	(-E0_S)(K-O0_)(M-E0_)(-A0_R)(S-E0_)
escomendrijo	(-E0_S)(K-O0_)(M-E0_N D)(R-I0_X)(-O0_)
escomer	(-E0_S)(K-O0_)(M-E0_R )
escomo	(-E0_S)(K-O0_)(M-O0_)
esconce	(-E0_S)(K-O0_N)(S-E0_)
esconde	(-E0_S)(K-O0_N)(D-E0_)
escondedero	(-E0_S)(K-O0_N)(D-E0_)(D-E0_)(R-O0_)
esconder	(-E0_S)(K-O0_N)(D-E0_R )
escondidamente	(-E0_S)(K-O0_N)(D-I0_)(D-A0_)(M-E0_N)(T-E0_)
escondidijo	(-E0_S)(K-O0_N)(D-I0_)(D-I0_X)(-O0_)
escondidillas	(-E0_S)(K-O0_N)(D-I0_)(D-I0_LL)(-A0_S )
escondite	(-E0_S)(K-O0_N)(D-I0_)(T-E0_)
escondo	(-E0_S)(K-O0_N)(D-O0_)
escondrijo	(-E0_S)(K-O0_N D)(R-I0_X)(-O0_)
esconzar	(-E0_S)(K-O0_N)(Z-A0_R )
esconzo	(-E0_S)(K-O0_N)(Z-O0_)
escopecina	(-E0_S)(K-O0_)(P-E0_)(S-I0_)(N-A0_)
escopeta	(-E0_S)(K-O0_)(P-E0_)(T-A0_)
escopetear	(-E0_S)(K-O0_)(P-E0_)(T-E0_)(-A0_R )
escopetee	(-E0_S)(K-O0_)(P-E0_)(T-E0_)(-E0_)
escopetero	(-E0_S)(K-O0_)(P-E0_)(T-E0_)(R-O0_)
escopladura	(-E0_S)(K-O0_P)(L-A0_)(D-U0_)(R-A0_)
escoplear	(-E0_S)(K-O0_P)(L-E0_)(-A0_R )
escoplee	(-E0_S)(K-O0_P)(L-E0_)(-E0_)
escoplo	(-E0_S)(K-O0_P)(L-O0_)
escorar	(-E0_S)(K-O0_)(R-A0_R )
escorbuto	(-E0_S)(K-O0_R)(B-U0_)(T-O0_)
escorce	(-E0_S)(K-O0_R)(S-E0_)
escorchar	(-E0_S)(K-O0_R)(CH-A0_R )
escorche	(-E0_S)(K-O0_R)(CH-E0_)
escordio	(-E0_S)(K-O0_R)(D-I0_)(-O0_)
escore	(-E0_S)(K-O0_)(R-E0_)
escorial	(-E0_S)(K-O0_)(R-I0_)(-A0_L )
escoriar	(-E0_S)(K-O0_)(R-I0_)(-A0_R )
escorie	(-E0_S)(K-O0_)(R-I0_)(-E0_)
escorpena	(-E0_S)(K-O0_R)(P-E0_)(N-A0_)
escorpera	(-E0_S)(K-O0_R)(P-E0_)(R-A0_)
escorpina	(-E0_S)(K-O0_R)(P-I0_)(N-A0_)
escorpioide	(-E0_S)(K-O0_R)(P-I0_)(-O0_)(-I0_)(D-E0_)
escorpión	(-E0_S)(K-O0_R)(P-I0_)(-O1_N )
escorrentía	(-E0_S)(K-O0_RR)(-E0_N)(T-I1_)(-A0_)
escorrozo	(-E0_S)(K-O0_RR)(-O0_)(Z-O0_)
escorzar	(-E0_S)(K-O0_R)(Z-A0_R )
escorzo	(-E0_S)(K-O0_R)(Z-O0_)
escorzonera	(-E0_S)(K-O0_R)(Z-O0_)(N-E0_)(R-A0_)
escosar	(-E0_S)(K-O0_)(S-A0_R )
escoscar	(-E0_S)(K-O0_S)(K-A0_R )
escosco	(-E0_S)(K-O0_S)(K-O0_)
escose	(-E0_S)(K-O0_)(S-E0_)
escota	(-E0_S)(K-O0_)(T-A0_)
escotar	(-E0_S)(K-O0_)(T-A0_R )
escote	(-E0_S)(K-O0_)(T-E0_)
escotero	(-E0_S)(K-O0_)(T-E0_)(R-O0_)
escotillón	(-E0_S)(K-O0_)(T-I0_LL)(-O1_N )
escotismo	(-E0_S)(K-O0_)(T-I0_S)(M-O0_)
escotista	(-E0_S)(K-O0_)(T-I0_S)(T-A0_)
escoto	(-E0_S)(K-O0_)(T-O0_)
escotoma	(-E0_S)(K-O0_)(T-O0_)(M-A0_)
escozor	(-E0_S)(K-O0_)(Z-O0_R )
escriba	(-E0_S K)(R-I0_)(B-A0_)
escribamos	(-E0_S K)(R-I0_)(B-A0_)(M-O0_S )
escriban	(-E0_S K)(R-I0_)(B-A0_N )
